id,target
0,1
2,0
3,0
9,0
11,0
12,0
21,0
22,0
27,0
29,0
30,0
35,0
42,0
43,0
45,1
46,1
47,1
51,0
58,0
60,0
69,1
70,1
72,0
75,1
84,0
87,1
88,0
90,0
94,1
99,0
101,1
103,1
106,1
108,0
111,0
115,0
116,0
122,1
123,1
124,1
125,0
127,0
140,0
142,1
147,0
148,0
150,0
152,1
154,0
155,1
166,0
167,0
169,0
177,1
179,0
181,0
186,0
188,0
189,1
192,0
200,1
202,1
206,1
207,1
214,0
217,1
223,1
224,1
227,0
228,0
230,0
233,1
234,1
236,1
239,1
250,1
255,0
257,0
259,0
275,1
278,1
282,0
284,0
286,0
288,1
292,1
295,0
300,1
304,1
305,1
306,1
308,1
311,0
317,1
319,1
323,0
324,0
325,0
326,0
333,1
339,1
342,1
343,0
350,0
351,1
357,1
359,1
362,0
366,1
367,1
369,1
373,0
374,1
376,1
377,1
378,1
379,0
382,1
385,1
387,1
388,1
391,1
392,1
395,1
399,1
400,1
403,0
405,1
408,1
411,0
414,1
416,0
417,0
422,1
425,1
428,1
430,0
431,1
433,1
434,0
439,1
441,0
449,0
458,0
460,0
464,0
473,1
488,1
491,0
494,1
497,0
500,1
505,0
507,1
508,0
510,0
511,0
515,1
525,0
529,0
532,0
534,0
537,0
539,0
541,0
545,0
547,0
548,0
549,0
553,1
554,1
555,1
557,0
562,0
566,1
572,0
573,1
582,1
586,1
587,0
590,0
591,0
593,1
595,0
596,0
597,1
601,1
602,1
605,0
610,0
616,0
618,0
620,0
626,0
627,1
629,0
632,0
634,0
639,0
645,0
647,0
648,1
650,0
663,0
666,0
668,0
670,0
673,1
676,0
678,0
692,0
693,1
694,0
695,0
696,1
698,1
701,1
703,0
707,0
708,1
711,0
715,0
718,0
722,0
723,1
733,0
741,0
742,0
743,1
747,1
749,0
750,0
756,0
757,0
760,0
764,0
765,0
766,1
768,1
769,0
771,0
772,0
776,0
778,1
780,0
785,0
789,0
792,0
793,1
811,1
813,0
816,1
821,0
824,0
825,0
827,0
830,0
831,0
839,0
844,0
847,1
850,1
854,1
855,0
858,1
861,1
862,0
865,0
869,0
879,0
880,1
887,1
889,1
897,1
900,1
901,1
904,0
908,0
909,0
910,1
913,0
914,1
917,1
918,1
920,1
922,0
924,0
925,1
927,0
933,0
937,1
943,0
949,0
950,1
954,0
966,0
967,1
969,1
970,0
973,0
975,1
980,0
988,0
989,1
995,0
1000,1
1003,1
1007,1
1011,0
1012,1
1013,1
1014,0
1016,0
1019,1
1025,1
1027,0
1028,1
1030,0
1033,1
1034,0
1039,1
1046,0
1047,1
1053,0
1055,0
1056,1
1059,1
1060,0
1063,0
1064,0
1068,0
1076,0
1086,1
1087,1
1089,0
1092,1
1095,0
1096,0
1097,1
1100,1
1101,1
1107,0
1108,1
1111,1
1115,1
1116,1
1121,1
1125,1
1127,0
1131,0
1133,1
1135,1
1137,1
1140,1
1144,0
1147,0
1148,1
1150,1
1158,0
1159,1
1161,1
1163,0
1165,0
1169,0
1171,0
1172,1
1176,1
1180,0
1184,0
1186,0
1187,0
1192,1
1193,0
1194,0
1197,1
1200,0
1205,0
1210,1
1216,1
1220,0
1231,0
1233,1
1246,0
1247,1
1248,0
1255,0
1256,1
1257,1
1258,0
1260,0
1261,0
1265,1
1266,1
1268,1
1274,0
1281,0
1285,0
1286,0
1291,0
1292,0
1295,0
1299,0
1306,0
1310,0
1311,0
1313,0
1314,0
1322,0
1323,0
1325,0
1329,0
1330,1
1333,0
1336,0
1339,1
1342,1
1344,0
1355,1
1357,0
1358,0
1359,0
1364,1
1366,1
1367,0
1370,1
1373,1
1377,0
1386,0
1387,1
1392,0
1397,0
1398,1
1400,1
1403,0
1404,1
1410,1
1413,1
1416,0
1417,0
1423,0
1424,0
1426,0
1427,1
1428,1
1430,0
1434,0
1435,0
1437,0
1438,0
1442,0
1446,0
1451,0
1457,0
1461,1
1462,0
1465,0
1468,1
1469,0
1471,0
1476,1
1478,0
1481,1
1489,1
1490,0
1492,1
1496,1
1512,0
1516,0
1517,0
1528,0
1529,1
1536,1
1539,0
1541,0
1542,0
1548,1
1550,1
1551,0
1552,1
1557,1
1563,1
1564,0
1565,0
1566,1
1571,0
1578,1
1581,0
1583,1
1584,0
1586,0
1589,0
1592,0
1598,1
1606,0
1612,0
1616,1
1620,0
1624,1
1629,1
1630,0
1635,0
1640,1
1641,1
1642,1
1651,0
1655,0
1656,0
1659,0
1664,1
1667,1
1668,0
1674,0
1678,0
1680,1
1681,1
1682,1
1685,0
1695,1
1696,1
1697,0
1704,0
1708,0
1711,0
1713,0
1714,0
1717,1
1729,1
1730,1
1732,0
1734,1
1736,1
1738,0
1742,1
1743,1
1746,1
1748,1
1749,1
1751,1
1758,0
1764,0
1765,1
1777,0
1778,0
1781,1
1782,1
1783,1
1785,0
1788,1
1793,0
1794,0
1795,0
1797,1
1800,0
1801,0
1805,0
1806,1
1819,1
1820,1
1825,1
1828,0
1829,1
1830,1
1839,1
1843,1
1844,1
1846,0
1849,1
1850,1
1854,0
1855,1
1858,1
1859,0
1862,1
1867,1
1868,1
1871,0
1872,1
1874,1
1876,0
1879,0
1884,1
1891,1
1894,1
1896,1
1902,0
1903,1
1904,0
1906,0
1907,1
1912,1
1913,1
1923,1
1926,1
1928,1
1930,1
1931,1
1934,1
1936,1
1944,1
1946,1
1947,1
1958,0
1964,1
1970,0
1974,1
1977,0
1978,1
1982,0
1984,1
1988,0
1993,1
1997,0
1998,0
2002,1
2004,1
2005,0
2008,1
2011,1
2013,0
2018,0
2021,1
2025,0
2029,0
2030,1
2032,0
2037,1
2041,0
2044,1
2048,0
2052,1
2053,0
2054,1
2062,1
2065,0
2066,1
2072,1
2079,0
2080,1
2085,1
2088,0
2090,0
2092,0
2093,1
2101,0
2104,0
2105,0
2106,1
2107,1
2120,0
2124,1
2127,0
2130,0
2132,0
2135,1
2137,1
2140,1
2143,1
2147,0
2151,0
2152,1
2155,1
2156,0
2162,0
2165,1
2166,1
2167,1
2168,1
2170,1
2178,0
2180,1
2182,0
2184,1
2185,1
2187,0
2196,1
2197,1
2199,0
2200,1
2201,1
2202,0
2206,0
2208,0
2218,1
2223,0
2224,0
2226,1
2228,0
2232,1
2234,0
2243,1
2247,1
2249,0
2252,1
2253,0
2259,0
2261,0
2264,0
2268,1
2269,1
2270,0
2276,0
2283,1
2287,1
2290,0
2291,0
